id,no,tanggal_aduan,judul_klaim,aduanpantauan,jenis_materi,topik,sub_topik,lokasi,sub_lokasi,jenis_dismis_informasi,sumber_hoaks,kanal_aduan,media_rujukan
77,77,24/01/2022,RAJA SALMAN MENINGGAL DUNIA,PANTAUAN,VIDEO,FIGUR,FIGUR,INTERNATIONAL,INTERNATIONAL,FABRICATED CONTENT,YOUTUBE,YOUTUBE,"DETIK, CNBC, REPUBLIKA"
78,78,24/01/2022,BAGI-BAGI GIVEAWAY DARI BAIM WONG DI FACEBOOK,ADUAN,TEXT,KRIMINALITAS,FIGUR,NASIONAL,NASIONAL,IMPOSTER CONTENT,WHATSAPP,WHATSAPP,0
79,79,25/01/2022,SINGAPURA NEGARA PERTAMA DI DUNIA YANG LAKUKAN OTOPSI JENAZAH COVID-19,ADUAN,TEXT,KESEHATAN,CORONA,INTERNATIONAL,INTERNATIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,0
80,80,26/01/2022,SEJUMLAH ANGGOTA TUBUH PARA DEMONSTRAN DI ISRAEL KELUARKAN ASAP PUTIH KARENA TERTANAM NANO CHIP,PANTAUAN,GAMBAR,KESEHATAN,CORONA - VAKSIN,INTERNATIONAL,INTERNATIONAL,MISLEADING CONTENT,WHATSAPP,WHATSAPP,"MEDCOM, AFP"
81,81,26/01/2022,DANA SEBAR UANG HINGGA 1 JUTA UNTUK 300 ORANG DENGAN AKSES LINK INI,PANTAUAN,LINK,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,"MEDCOM, DANAINSTAGRAM"
82,82,26/01/2022,HASIL PENELITIAN SEBUT VAKSIN COVID-19 LEBIH BANYAK MENYEBABKAN PENYAKIT KETIMBANG MANFAATNYA,PANTAUAN,GAMBAR,KESEHATAN,CORONA - VAKSIN,INTERNATIONAL,INTERNATIONAL,FALSE CONTEXT,WEBSITE,TWITTER,"MEDCOM, POLITIFACT"
83,83,26/01/2022,"IBU KOTA NEGARA DIATAS LAHAN SENGKETA, KLAIM LAHAN IKN KERABAT KESULTANAN KUTAI TUNJUKAN BUKTI",ADUAN,TEXT,HUKUM DAN REGULASI,HUKUM DAN REGULASI,NASIONAL,NASIONAL,BENAR,WHATSAPP,WHATSAPP,CNBCINDONESIA
84,84,26/01/2022,SURAT TERBUKA BERISI KLAIM VAKSINASI MERUPAKAN PROGRAM GENOSIDA DAN MENYEBABKAN MANDUL,ADUAN,TEXT,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,MISLEADING CONTENT,WHATSAPP,WHATSAPP,TEMPO
85,85,26/01/2022,SURAT PANGGILAN INTERVIEW PT ANTAM,PANTAUAN,GAMBAR,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,"MEDCOM, ANTAMINSTAGRAM"
86,86,26/01/2022,SURAT PENGANGKATAN TENAGA HONORER JADI PNS TANPA TES,PANTAUAN,GAMBAR,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,IMPOSTER CONTENT,WHATSAPP,WHATSAPP,"MEDCOM, BKNGOIDOFFICIAL"
87,87,26/01/2022,"TENTARA CHINA NYAMAR JADI TUKANG GOJEK, NANGIS KARENA GA BISA PULANG KE TEMPAT PERSEMBUNYIANNYA",ADUAN,VIDEO,HUKUM DAN REGULASI,HUKUM DAN REGULASI,NASIONAL,NASIONAL,FALSE CONTEXT,WHATSAPP,WHATSAPP,medcom.id suara.com
88,88,27/01/2022,"TENTARA CHINA NYAMAR JADI TUKANG GOJEK, NANGIS KARENA GA BISA PULANG KE TEMPAT PERSEMBUNYIANNYA",ADUAN,VIDEO,HUKUM DAN REGULASI,HUKUM DAN REGULASI,NASIONAL,NASIONAL,FALSE CONTEXT,WHATSAPP,WHATSAPP,0
89,89,27/01/2022,PERMEN NARKOBA BARU BEREDAR DISEKITAR KITA,ADUAN,GAMBAR,PANGAN,PRODUK,NASIONAL,NASIONAL,MISLEADING CONTENT,WHATSAPP,WHATSAPP,0
90,90,27/01/2022,SETELAH VAKSIN BEBERAPA SANTRI PONPES DARUL FALAH KUBU RAYA DILARIKAN KE RUMAH SAKIT,ADUAN,GAMBAR,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,BENAR,INSTAGRAM,INSTAGRAM,INFOKALBAR
91,91,27/01/2022,BUMI AKAN MENGALAMI FENOMENA APHELION,ADUAN,TEXT,FENOMENA,ALAM,NASIONAL,NASIONAL,MISLEADING CONTENT,WHATSAPP,WHATSAPP,0
92,92,29/01/2022,BUMI AKAN MENGALAMI FENOMENA APHELION,ADUAN,TEXT,FENOMENA,ALAM,NASIONAL,NASIONAL,MISLEADING CONTENT,WHATSAPP,WHATSAPP,0
93,93,30/01/2022,REKRUTMEN  DISKOMINFO JABAR MEMINTA BIAYA,ADUAN,TEXT,KRIMINALITAS,PENIPUAN,JAWA BARAT,JAWA BARAT,IMPOSTER CONTENT,WHATSAPP,INSTAGRAM,0
94,94,30/01/2022,DAFTAR KENDARAAN LELANG NONEKSEKUSI DARI KEMENTRIAN KEUANGAN REPUBLIK INDONESIA,ADUAN,TEXT,EKONOMI,EKONOMI,NASIONAL,NASIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,0
95,95,30/01/2022,PESAN BERANTAI TATACARA PENGOBATAN OMICRON = SYMPTOMS & THERAPY,ADUAN,TEXT,KESEHATAN,CORONA,NASIONAL,NASIONAL,BENAR,WHATSAPP,WHATSAPP,KOMPAS
96,96,30/01/2022,REKRUTMEN  DISKOMINFO JABAR MEMINTA BIAYA,ADUAN,TEXT,KRIMINALITAS,PENIPUAN,JAWA BARAT,JAWA BARAT,IMPOSTER CONTENT,WHATSAPP,WHATSAPP,0
97,97,31/01/2022,VIDEO : SRI PAUS YOHANES UMUMKAN MASUK ISLAM DIDEPAN RIBUAN UMAT KHATOLIK,ADUAN,VIDEO,SARA,AGAMA,INTERNATIONAL,INTERNATIONAL,MISLEADING CONTENT,WHATSAPP,WHATSAPP,"Kominfo, Mapindo"
